,,6Base_2 Avg:,-0.0333,-0.0329,-0.0203,BASELINE SUBTRACTED,,
Date & Time,Date,Time,PDIT705,PDIT706,PDIT707,PDIT705,PDIT706,PDIT707
12/14/2018 6:49:51.74,12/14/18,06:49:51:74,-0.04557,-0.10504,0.067653,,,
12/14/2018 6:49:51.84,12/14/18,06:49:51:84,-0.04557,-0.10504,0.067653,,,
12/14/2018 6:49:52.08,12/14/18,06:49:52:08,-0.04437,-0.10504,0.067613,,,
12/14/2018 6:49:52.27,12/14/18,06:49:52:27,-0.04587,-0.10504,0.067653,,,
12/14/2018 6:49:52.45,12/14/18,06:49:52:45,-0.04377,-0.105,0.067613,,,
12/14/2018 6:49:52.75,12/14/18,06:49:52:75,-0.04482,-0.10504,0.067653,,,
12/14/2018 6:49:52.83,12/14/18,06:49:52:83,-0.04407,-0.10504,0.067613,,,
12/14/2018 6:49:52.92,12/14/18,06:49:52:92,-0.04377,-0.10504,0.067613,,,
12/14/2018 6:49:53.14,12/14/18,06:49:53:14,-0.045421,-0.10504,0.067653,,,
12/14/2018 6:49:53.33,12/14/18,06:49:53:33,-0.04392,-0.10504,0.067613,,,
12/14/2018 6:49:53.51,12/14/18,06:49:53:51,-0.045121,-0.10504,0.067613,,,
12/14/2018 6:49:53.79,12/14/18,06:49:53:79,-0.04452,-0.10504,0.067653,,,
12/14/2018 6:49:53.89,12/14/18,06:49:53:89,-0.04482,-0.10504,0.067613,,,
12/14/2018 6:49:54.09,12/14/18,06:49:54:09,-0.04452,-0.10504,0.067653,,,
